ID	SEX	MATURES	CHILDS	PHYSS	SELFDET	EXTSCORE	DATEDUR	SERIOUS	ALCFREQ	BP
348	1	3	2.2	1	-1.06667	-20	3	3	2	3
349	1	2.5	2.8	1.33333	7	-38	4	4	1	1.93103
350	2	3.5	3.2	1	1.46667	-10	2	3	3	2.93103
351	1	2	3.2	2	2.46667	-12	3	3	2	3.37931
352	2	3	2.2	1.16667	4.53333	-14	4	4	1	2.31034
353	1	3.5	2.2	1	0.4	.	3	2	3	2.41379
354	1	3.5	2.4	1.33333	3.06667	-48	4	4	1	1.58621
355	2	2.5	3	1.16667	6.53333	-22	3	3	2	3
356	2	3	2	1	4.46667	-23	1	2	3	2.62069
357	1	2.5	2	1	1.06667	-4	4	3	2	2.93103
358	1	4.5	2	1	2.66667	8	1	3	1	3.37931
359	2	1.5	1	1	5.2	-8	1	2	1	2.2069
360	1	3	1.4	1	5.53333	-32	5	4	3	2
361	1	4	2.6	1	3.6	-12	1	2	3	1.93103
362	1	2	1.6	1	4	-12	3	3	2	2.27586
363	2	3.5	1.4	1	1.53333	-2	4	4	3	2.17241
364	2	1	2	1	-0.86667	-5	1	1	3	2.51724
365	1	3	1.2	1	4.6	6	5	4	3	2.37931
366	1	3	2.66667	1	3.73333	-17	2	2	2	2.03448
367	1	4.5	3	1	3.66667	-26	4	3	2	2.51724
368	1	4	2.2	1	6.06667	-41	2	4	2	1.86207
369	2	3.5	1.8	1	3.2	-9	1	3	2	3.13793
370	2	2	1.2	1	1.93333	-15	4	3	3	2.51724
371	1	2	2.2	1.66667	2.8	-29	1	2	2	2.89655
372	2	2	2	1	0.93333	-40	1	2	2	2.55172
373	1	2.5	2.6	1	4.33333	-9	4	4	3	2
374	1	3	2.8	2	-0.33333	0	4	3	3	2
375	2	3	3	1.66667	-0.93333	-8	1	3	4	3.37931
376	2	4	1.8	1.16667	0.93333	-17	1	2	3	3.58621
377	2	3.5	1.8	1	5.6	-26	5	4	4	1.89655
378	1	5	1.6	1	2.13333	-8	4	4	2	2.26923
379	1	2	1.6	1.16667	4.33333	-25	5	5	2	2.62069
380	1	2	1.2	1	2.26667	-32	1	1	1	2.17241
381	1	2	2	1	5.13333	-41	3	4	1	2.62069
382	1	3.5	1.4	1	5.13333	-24	1	3	3	2.27586
383	1	3	1.8	1.16667	4.26667	-8	3	4	4	3.34483
384	2	2	1.8	1	3.4	-10	1	2	1	2.41379
385	2	2.5	1.6	1	4.93333	-18	1	3	3	3.2069
386	2	4	1.4	1	5.06667	-26	4	3	3	2.58621
387	1	3.5	1.2	1	4.26667	-29	1	2	3	1.93103
388	1	2	1.4	1	0.8	-3	1	2	4	2.68966
389	2	2.5	2.4	1	1.46667	-21	4	3	3	2.2069
390	1	3	2	1	3.13333	-15	5	4	3	2.68966
391	2	2	2	1	4.66667	-39	3	4	2	2.65517
392	1	3	3.2	1	6.13333	-35	4	4	4	3.10345
393	1	2	1.2	1	5.53333	-42	3	3	3	2.65517
394	1	3	1.6	1.66667	1.93333	-45	5	3	3	1.89655
395	1	3.5	3	1	3.06667	-35	1	3	4	2.37931
396	2	5	1	1	4.13333	-24	1	2	2	2.13793
397	2	2	1.2	1	-0.8	.	1	3	2	2.48276
398	1	4	3	1.16667	0.8	-11	4	2	3	3.10345
399	2	3	1.2	1	1.53333	-32	2	2	3	2.31034
400	1	3	1.4	1	5.86667	-37	2	4	1	1.72414
401	2	2.5	1.6	1	4.6	9	5	4	3	2.37931
402	1	4.5	2.4	1	2.8	-32	4	3	1	2.31034
403	1	3.5	2.8	1.16667	0.26667	-9	5	4	3	2.10345
404	2	4.5	2.8	1.33333	3	-10	1	3	3	3.2069
